Latitude,Longitude,pipe_age,diameter,Base,Soil,Groundwater,Total
37.5457555,127.1217904,2017,600,1.0,0.3881850242225248,2.43,3.818185024222525
37.52810842,127.123595,2013,600,1.0,0.422857271018153,2.84,4.262857271018153
37.54595181,127.1231119,1989,600,1.0,0.3907844866976562,2.0,3.3907844866976564
37.5361469,127.1408351,1980,525,1.0,0.4871971781582691,4.2,5.68719717815827
37.56016912,127.127047,1900,450,1.0,0.40811957603007437,3.686666666666667,5.094786242696742
37.54756426,127.1343861,1980,600,1.0,0.4742743101884968,2.7266666666666666,4.200940976855163
37.5322389,127.1403443,1980,450,1.0,0.5151212762660178,2.7,4.215121276266018
37.53279858,127.1474556,1900,450,1.0,0.4835663128745841,2.993333333333333,4.476899646207917
37.54412299,127.1236779,1980,450,1.0,0.3991372456674404,3.0920000000000005,4.491137245667441
37.54111425,127.1271143,1900,450,1.0,0.4364469244671155,4.033333333333333,5.469780257800449
37.55149589,127.1400586,1993,488,1.0,0.497595032127815,2.52,4.017595032127815
37.54522214,127.127596,1980,525,1.0,0.4320724284514487,2.8933333333333335,4.325405761784783
37.52542431,127.1323655,1980,562,1.0,0.5216859253403311,2.8533333333333335,4.375019258673665
37.55467705,127.129249,1980,600,1.0,0.42902623186901306,3.5733333333333337,5.0023595652023465
37.56231635,127.167495,1999,600,1.0,0.4596437001242269,3.9000000000000004,5.359643700124227
37.55136859,127.1286455,2001,600,1.0,0.4407280730359152,4.720000000000001,6.160728073035916
37.55362142,127.1337303,1992,600,1.0,0.4621256910968688,2.5133333333333336,3.9754590244302026
37.55391,127.1566271,1988,300,1.0,0.534767652636936,1.2666666666666668,2.8014343193036026
37.5585238,127.1698472,1988,450,1.0,0.472131788252791,2.138,3.610131788252791
37.54840189,127.1462529,1900,600,1.0,0.4782549191893747,3.4733333333333336,4.951588252522708
37.55157992,127.1430113,1971,450,1.0,0.4858471440682939,3.0600000000000005,4.545847144068294
37.55685369,127.1719706,2011,300,1.0,0.47184299625406295,3.1820000000000004,4.653842996254063
37.55436366,127.1538145,1900,600,1.0,0.5308228853163672,2.3986666666666667,3.9294895519830337
37.52991867,127.1393307,1900,400,1.0,0.511127203244138,4.0200000000000005,5.5311272032441385
37.55729976,127.1730469,2011,367,1.0,0.46666809809343307,3.7400000000000007,5.2066680980934334
37.53367027,127.1453852,1987,333,1.0,0.4822046171656562,2.6466666666666665,4.128871283832323
37.54617938,127.1308575,1980,300,1.0,0.4538380262126568,3.3666666666666667,4.820504692879323
37.55815643,127.1691603,1997,533,1.0,0.4753176795660957,0.0,1.4753176795660958
37.53405139,127.1428894,1980,767,1.0,0.49497230074680854,3.3866666666666667,4.881638967413475
37.53494903,127.144896,1980,1000,1.0,0.4857157326428437,2.2800000000000002,3.765715732642844
37.52832869,127.1367196,2005,1100,1.0,0.5125118385095792,2.718,4.230511838509579
37.54210751,127.1392593,2001,1225,1.0,0.49930834068408086,4.066666666666667,5.565975007350748
37.54353571,127.1449562,1980,1350,1.0,0.484530397404994,2.6,4.084530397404994
37.5491786,127.1536952,2006,450,1.0,0.5132398503209339,3.893333333333334,5.406573183654268
37.54618936,127.1709589,1900,525,1.0,0.49146765281517174,0.0,1.4914676528151718
37.53053378,127.1254909,1900,600,1.0,0.43632182212581466,3.2733333333333334,4.709655155459148
37.55968218,127.1703367,1988,600,1.0,0.46736053321590143,4.3,5.767360533215902
37.52398071,127.1305116,1980,600,1.0,0.5318892315876107,2.72,4.251889231587611
37.55648563,127.1337838,1999,600,1.0,0.4365223844890527,2.7933333333333334,4.229855717822386
37.55556784,127.1364721,1992,600,1.0,0.4535852126142516,3.246666666666667,4.700251879280919
37.54172038,127.1423548,2004,600,1.0,0.48416964978191224,2.5180000000000002,4.002169649781912
37.53059629,127.1303252,1990,600,1.0,0.47250834281877463,2.8200000000000003,4.292508342818775
37.5452298,127.1230031,1900,600,1.0,0.3943613082234203,2.3933333333333335,3.7876946415567536
37.54153594,127.1461267,1980,450,1.0,0.4726988075279644,2.0466666666666664,3.5193654741946307
37.52856457,127.1329857,1980,450,1.0,0.5140049211806066,669.0666666666667,670.5806715878473
37.56442065,127.1733727,2010,450,1.0,0.4347978493949619,5.006666666666667,6.441464516061629
37.54223504,127.1288414,1988,450,1.0,0.4426852710079445,4.573333333333333,6.016018604341278
37.55466481,127.1740521,2011,450,1.0,0.4670978694097956,2.3333333333333335,3.800431202743129
37.54432302,127.1230294,1980,800,1.0,0.39543514420345705,3.0060000000000002,4.401435144203457
37.51756845,127.1442837,2001,600,1.0,0.5558132878540913,2.0,3.5558132878540913
37.52727306,127.1305147,1980,800,1.0,0.5167417193966737,3.3600000000000003,4.876741719396674
37.53268986,127.1322215,2016,300,1.0,0.47226315388814905,3.1799999999999997,4.652263153888149
37.57711383,127.1678225,1900,600,1.0,0.33604283200349433,2.8880000000000003,4.224042832003494
37.54599088,127.1738231,1989,600,1.0,0.4772255264097169,2.62,4.0972255264097175
37.52834695,127.1230725,2013,525,1.0,0.42105698731604857,2.953333333333333,4.374390320649382
37.54914021,127.1296508,1980,450,1.0,0.440051166495673,3.2,4.640051166495673
37.54209899,127.1216655,1900,900,1.0,0.3880469479823308,4.586666666666666,5.974713614648997
37.54803138,127.141122,1980,750,1.0,0.5019340295857121,3.5600000000000005,5.0619340295857125
37.54706129,127.1319966,1980,600,1.0,0.4638982566817802,3.846666666666667,5.310564923348448
37.54910674,127.1527389,1992,525,1.0,0.5100209919912937,3.893333333333334,5.403354325324628
37.5472529,127.1412619,1980,450,1.0,0.5015750539936512,3.5600000000000005,5.061575053993652
37.53848319,127.1509815,2013,800,1.0,0.47388384568693065,3.2733333333333334,4.747217179020264
37.53977028,127.1277864,1992,600,1.0,0.4454078541808053,4.740000000000001,6.185407854180807
37.54275723,127.1353957,1984,1200,1.0,0.49802773832369257,3.393333333333333,4.891361071657026
37.53101519,127.1331421,1980,300,1.0,0.5014231549364465,3.1666666666666665,4.668089821603113
37.53632401,127.1303574,1900,800,1.0,0.47047329619342676,3.7533333333333334,5.22380662952676
37.53895691,127.1274384,1900,1200,1.0,0.44329625602499256,5.086666666666666,6.5299629226916585
37.54489539,127.1434922,1999,825,1.0,0.4892231013369349,2.4593333333333334,3.948556434670268
37.54772487,127.1461527,1984,450,1.0,0.481893616519746,3.0200000000000005,4.501893616519746
37.53270562,127.1473976,1900,600,1.0,0.4834012406466966,2.993333333333333,4.47673457398003
37.55480987,127.1480914,1996,600,1.0,0.536834168777319,2.5446666666666666,4.081500835443986
37.56098067,127.155984,1999,450,1.0,0.5131610009389518,3.1333333333333337,4.646494334272285
37.56115171,127.1612333,1988,525,1.0,0.5045510034915536,3.7379999999999995,5.242551003491553
37.53474994,127.1508547,1900,600,1.0,0.4724948623083591,5.0200000000000005,6.49249486230836
37.54030825,127.1402054,1980,450,1.0,0.4876092791712643,3.466666666666667,4.9542759458379315
37.56076541,127.1602433,1988,500,1.0,0.5084862003114332,2.466666666666667,3.9751528669781
37.56317252,127.1786308,2010,488,1.0,0.43671151930047947,2.8533333333333335,4.290044852633812
37.52558733,127.1296962,1980,475,1.0,0.5133095147553804,3.3866666666666667,4.899976181422048
37.54579857,127.1236563,1980,462,1.0,0.3912739253086988,2.0,3.391273925308699
37.5449246,127.1303576,1980,450,1.0,0.45149012620026774,2.0,3.4514901262002677
37.55422759,127.1332297,1980,600,1.0,0.4590506847629629,2.5133333333333336,3.972384018096297
37.52848887,127.1247136,2014,500,1.0,0.4310235138576399,3.333333333333334,4.764356847190974
37.54922331,127.1503148,1988,600,1.0,0.491168130830681,3.3266666666666667,4.817834797497348
37.55699774,127.1720234,2011,525,1.0,0.47176679973320423,3.3880000000000003,4.859766799733205
37.57196376,127.1713858,1900,450,1.0,0.3663850388794048,2.2600000000000002,3.626385038879405
37.52724625,127.1425194,1991,450,1.0,0.5219908769218999,2.7800000000000002,4.3019908769219
37.54520537,127.1352211,1900,525,1.0,0.49689146032458176,4.618666666666667,6.115558126991249
37.54849324,127.14123,1980,600,1.0,0.5002800165595451,3.5600000000000005,5.060280016559545
37.55489833,127.1437031,1979,600,1.0,0.47228160194593266,3.3200000000000003,4.792281601945933
37.56053386,127.1819828,2010,600,1.0,0.4275035538268073,3.4266666666666667,4.854170220493474
37.54246448,127.1425262,1980,600,1.0,0.4871618735998121,2.5180000000000002,4.005161873599812
37.55830728,127.1356038,1979,400,1.0,0.44536314112677805,2.74,4.185363141126778
37.54966178,127.1396105,1900,1000,1.0,0.5032309334186751,3.933333333333333,5.436564266752008
37.53360682,127.1400848,1995,450,1.0,0.5119887743662492,2.993333333333333,4.505322107699582
37.53935116,127.1432367,1980,525,1.0,0.481898394012051,2.9313333333333333,4.4132317273453845
37.53749093,127.1460018,1980,600,1.0,0.4751360302179381,2.0,3.4751360302179384
37.57646564,127.171949,1900,800,1.0,0.30832264269312953,4.68,5.988322642693129
37.5281702,127.1439193,1900,600,1.0,0.5250627629317753,4.086666666666667,5.611729429598443
37.53142009,127.1367832,1980,300,1.0,0.5109259766628755,3.2133333333333334,4.724259309996209
37.55444432,127.156248,1900,400,1.0,0.5323247481372575,4.066666666666667,5.598991414803924
